name,nationality,dob,highest_rank,highest_rank_year,handed,turned_pro,fav_surface,last10_win,rank,points,rank_2023,win_loss_2023,win_loss_clay_2023,win_loss_hardcourt_2023,win_loss_indoor_2023,win_loss_grass_2023,win_loss_other_2023,rank_2022,win_loss_2022,win_loss_clay_2022,win_loss_hardcourt_2022,win_loss_indoor_2022,win_loss_grass_2022,win_loss_other_2022,rank_2021,win_loss_2021,win_loss_clay_2021,win_loss_hardcourt_2021,win_loss_indoor_2021,win_loss_grass_2021,win_loss_other_2021,rank_2020,win_loss_2020,win_loss_clay_2020,win_loss_hardcourt_2020,win_loss_indoor_2020,win_loss_grass_2020,win_loss_other_2020,rank_2019,win_loss_2019,win_loss_clay_2019,win_loss_hardcourt_2019,win_loss_indoor_2019,win_loss_grass_2019,win_loss_other_2019,rank_2018,win_loss_2018,win_loss_clay_2018,win_loss_hardcourt_2018,win_loss_indoor_2018,win_loss_grass_2018,win_loss_other_2018,total_win_loss,total_win_loss_clay,total_win_loss_hardcourt,total_win_loss_indoor,total_win_loss_grass,total_win_loss_other
"Donski, Alexander",Bulgaria,1998-08-01,525,.2022,,,,60%,805,248,-,9/10,5/2,3/5,1/3,-,-,605,35/25,2/7,33/15,0/3,-,-,676,22/24,5/6,13/14,4/4,-,-,592,3/9,1/2,0/3,1/4,-,1/0,569,38/20,17/10,21/10,-,-,-,1432,23/16,-,23/15,0/1,-,-,182/140,47/38,124/84,10/18,0/0,1/0
"Kontaveit, Anett",Estonia,1995-12-24,2,022,Right,2010,Grass,50%,82,528,-,6/7,1/2,2/4,-,-,3/1,17,29/16,6/4,18/10,4/1,1/1,-,7,48/17,5/3,21/10,18/2,4/2,-,23,24/11,5/3,14/7,1/1,-,4/0,26,26/16,4/4,16/9,-,3/3,3/0,20,35/25,12/5,16/13,4/3,2/3,1/1,351/190,81/43,145/94,65/26,44/20,16/7
"Cano, Patricia",Peru,2003-05-14,,,,,,20%,-,-,2023,0/4,-,-,-,,,2022,1/2,1/12,-,-,,,2021,0/1,-,-,-,,,,,,,,,,2019,0/2,-,-,-,,,,,,,,,,1/9,1/12,0/0,0/0,,
"Galik, Matej",Slovakia,2002-06-10,,,,,,40%,-,1824,2023,0/1,-,-,-,-,,2022,20/15,1/1,1/2,-,-,,2021,6/13,3/2,0/3,-,-,,2020,-,2/2,0/1,-,1/3,,,,,,,,,,,,,,,,26/29,6/5,1/6,0/0,1/3,
"Pachkaleva, Taisya",Neutral,2001-04-06,538,.2020,,,Hard,70%,-,-,,,,,,,,,,,,,,,669,1/2,0/1,1/1,-,-,,559,14/4,7/2,-,7/2,-,,735,25/13,17/8,8/4,0/1,-,,-,2/1,-,2/1,-,-,,42/20,24/11,11/6,7/3,0/0,
"Bahri, Ferdaous",Tunisia,2001-06-13,1280,3.2020,Right,,Hard,20%,-,1478,-,5/11,-,5/11,-,-,,-,9/29,-,9/29,-,-,,1548,11/39,-,11/39,-,-,,1328,2/6,-,2/6,-,-,,-,1/6,1/3,0/3,-,-,,-,0/2,-,0/2,-,-,,32/103,5/12,27/91,0/0,0/0,
"Shin, Jiho",Republic of Korea,2002-03-08,,,,,,60%,862,722,-,8/7,6/4,2/3,-,-,,898,34/24,5/12,29/12,-,-,,-,7/12,0/5,7/7,-,-,,-,1/2,-,1/2,-,-,,-,6/7,-,6/7,-,-,,,,,,,,,56/53,11/21,45/32,0/0,0/0,
Daria Kudashova,Neutral,2003-03-28,389,.2023,,,,30%,389,1478,-,8/11,2/5,6/5,0/1,-,,440,23/16,0/1,22/14,1/1,-,,656,16/6,2/2,-,14/4,-,,650,12/7,-,7/5,5/2,-,,713,21/8,13/5,8/1,0/2,-,,-,11/5,2/1,9/4,-,-,,91/53,19/14,52/29,20/10,0/0,
"Hering, Katharina",Germany,1995-02-28,672,.2016,Right,,,60%,1019,636,-,11/10,9/6,2/2,0/2,-,-,921,33/24,26/16,1/2,6/6,-,-,1152,8/17,3/6,5/10,0/1,-,-,980,15/10,2/1,0/2,0/1,-,13/6,812,20/26,16/18,2/6,2/2,-,-,846,29/30,10/16,14/10,5/4,-,-,221/233,133/133,56/64,19/29,0/1,13/6
"Vrbensky, Michael",Czech Republic,1999-12-26,282,.2021,Right,,,50%,-,-,-,16/10,5/4,11/6,-,-,-,360,54/27,37/16,7/3,10/8,-,-,372,17/27,14/21,2/1,1/2,-,0/3,311,21/16,14/10,2/2,1/3,-,4/1,429,43/19,36/13,3/3,4/3,-,-,491,35/29,17/13,9/6,9/7,-,0/3,210/146,135/86,34/21,37/30,0/0,4/9
"Zink, Lindsay",USA,2003-07-05,,,,,,33%,-,-,,,,,,,,2022,-,2/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,2/3,0/0,0/0,,
"Dessolis, Barbara",Italy,2001-09-21,,,Right,,Hard,40%,1070,849,-,12/9,4/5,8/4,-,-,,1092,17/21,15/19,2/2,-,-,,1299,21/16,15/10,6/6,-,-,,-,3/3,3/3,-,-,-,,-,0/5,0/4,0/1,-,-,,-,0/1,0/1,-,-,-,,59/75,43/62,16/13,0/0,0/0,
"Plosnik, Ela",Slovenia,2008-04-14,,,,,,0%,-,-,2023,0/1,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/1,0/0,,
"Goldberg Alviani, Nicolas Rafael",Spain,2002-10-10,,,Right,,,30%,1635,1363,-,6/9,6/8,0/1,-,-,,1638,9/22,1/4,8/18,-,-,,-,2/8,-,2/8,-,-,,,,,,,,,,,,,,,,,,,,,,,17/39,7/12,10/27,0/0,0/0,
"Makarova, Ekaterina",Neutral,1996-02-15,,,Right,,,60%,197,1222,-,17/14,11/8,5/4,1/2,-,-,231,45/32,31/14,9/7,5/10,0/1,-,369,38/31,22/19,6/3,10/9,-,-,528,21/12,2/2,-,3/1,-,16/9,531,18/25,13/17,0/3,5/5,-,-,-,43/19,19/12,23/6,1/1,-,-,182/133,98/72,43/23,25/28,0/1,16/9
"Papac, Tomislav Edward",Australia,1995-06-12,1236,3.2023,Right,,Hard,50%,1246,1700,-,6/6,0/2,3/2,-,3/2,,1567,18/17,4/2,14/15,-,-,,,,,,,,,-,5/2,-,-,-,5/2,,-,3/12,-,3/10,-,0/2,,1576,9/14,2/7,7/7,-,-,,88/112,27/42,49/61,1/1,11/8,
"Nepliy, Elina",Neutral,1997-10-23,978,.2017,Right,,Hard,30%,-,-,,,,,,,,,,,,,,,,,,,,,,-,4/9,2/6,2/3,-,-,,-,16/16,16/14,0/2,-,-,,-,11/15,10/13,1/2,-,-,,76/98,49/60,19/30,8/8,0/0,
"Andaloro, Fabrizio",Italy,2001-01-31,775,.2023,,,,50%,775,1107,-,11/5,5/4,6/1,-,-,,834,19/10,18/9,-,1/1,-,,1353,9/11,4/6,5/5,-,-,,-,2/3,-,2/3,-,-,,-,2/5,1/2,1/3,-,-,,-,1/3,1/3,-,-,-,,44/37,29/24,14/12,1/1,0/0,
"Hsu, Yu Hsiou",Chinese Taipei,1999-04-02,186,.2023,Right,,,70%,193,170,-,18/8,-,17/8,-,-,1/0,221,54/24,5/3,47/18,2/3,-,-,362,53/23,4/7,49/16,-,-,-,488,8/3,-,4/2,-,4/1,-,497,33/24,-,32/21,1/3,-,-,571,32/17,3/1,22/12,0/2,6/2,1/0,219/117,12/11,190/92,5/11,10/3,2/0
"Sorribes Tormo, Sara",Spain,1996-10-08,32,2022,Right,2014,Clay,70%,155,185,-,10/4,9/4,-,-,-,1/0,61,24/18,11/6,9/10,-,2/2,2/0,36,31/20,2/5,24/11,1/1,3/2,1/1,66,29/13,13/4,4/7,4/2,-,8/0,84,39/29,18/10,17/14,1/1,3/3,0/1,86,39/27,22/9,9/14,0/1,8/3,-,328/221,179/95,105/92,13/14,18/16,13/4
"Dossetter, Charles",Great Britain,2001-12-25,,,Right,,Hard,20%,-,-,2023,0/2,1/2,-,-,,,2022,-,0/1,-,-,,,2021,0/7,0/1,-,-,,,,,,,,,,,,,,,,,2018,1/4,-,-,-,,,1/14,1/4,0/0,0/0,,
"Levyatov, Lev",Israel,2002-12-09,,,,,Clay,0%,-,1966,,,,,,,,2022,1/2,6/19,-,-,,,2021,1/3,3/5,-,-,,,,,,,,,,,,,,,,,2018,0/1,-,-,-,,,2/6,9/24,0/0,0/0,,
"Ugo Carabelli, Camilo",Argentina,1999-06-17,96,2022,Right,,Hard,30%,152,475,-,17/15,17/14,0/1,-,-,,126,39/24,36/19,3/4,-,0/1,,213,43/24,39/22,4/2,-,-,,350,19/12,18/10,0/1,1/1,-,,410,45/29,33/21,12/8,-,-,,352,51/18,48/16,3/2,-,-,,266/161,239/137,26/22,1/1,0/1,
"Miyagawa, Yuria",Japan,2003-11-28,,,,,,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"March, Antonio Cayetano",Ecuador,2000-07-03,655,.2020,,,,30%,1011,1097,-,3/5,0/3,3/2,-,-,-,853,15/21,9/16,5/3,-,-,1/2,682,19/24,14/15,5/9,-,-,-,680,11/14,5/6,6/8,-,-,-,726,27/25,17/16,9/9,-,-,1/0,1064,10/10,6/7,4/3,-,-,-,85/99,51/63,32/34,0/0,0/0,2/2
"Falkner, Ziva",Slovenia,2002-07-07,,,Right,,Clay,60%,541,587,-,9/13,6/4,2/4,1/5,-,-,548,34/34,20/21,9/9,4/3,-,1/1,481,42/25,30/18,5/5,7/2,-,-,936,15/6,15/6,-,-,-,-,-,2/2,2/2,-,-,-,-,-,0/1,0/1,-,-,-,-,102/81,73/52,16/18,12/10,0/0,1/1
"Terziyska, Julia",Bulgaria,1996-03-05,306,.2016,Right,,Hard,60%,543,680,-,3/2,1/1,-,2/1,-,-,449,29/11,16/7,8/1,4/1,-,1/2,584,13/6,4/2,9/3,0/1,-,-,469,6/1,-,-,6/1,-,-,478,20/21,3/3,14/11,3/7,-,-,457,36/19,3/3,27/11,6/5,-,-,231/131,43/40,152/59,35/28,0/2,1/2
"Boehner, Laura",Germany,2001-07-30,,,Right,,Hard,40%,-,534,2023,5/8,0/1,0/1,-,-,,2022,15/19,7/7,-,-,-,,2021,5/12,3/3,0/1,-,-,,2020,1/2,1/6,0/1,-,0/6,,2019,0/7,-,0/2,-,-,,2018,2/3,-,-,-,-,,28/53,11/17,0/5,0/0,0/6,
"Donskoy, Evgeny",Neutral,1990-05-09,65,2013,Right,2007,Hard,50%,242,395,-,30/13,-,25/8,5/5,-,-,388,18/22,4/7,6/12,8/3,-,-,172,19/28,2/7,8/8,7/9,2/4,-,123,10/16,0/3,7/9,3/4,-,-,112,36/30,0/1,19/14,11/11,6/4,-,98,29/33,7/6,12/14,9/8,1/4,0/1,427/377,80/103,217/145,110/100,16/26,4/3
"McCormick, Tristan",USA,1999-04-01,534,.2023,,,,60%,535,366,-,15/12,8/4,2/3,5/5,-,-,601,22/11,5/3,13/5,2/2,-,2/1,1007,21/6,7/3,14/3,-,-,-,-,4/5,-,-,-,-,4/5,,,,,,,,-,3/3,2/1,1/2,-,-,-,66/40,23/12,30/15,7/7,0/0,6/6
"Beckley, Alec",South Africa,2001-06-18,636,.2023,Right,,Hard,70%,636,733,-,16/12,4/2,12/9,-,-,0/1,697,35/24,7/5,24/15,4/4,-,-,1314,28/21,3/3,21/16,4/2,-,-,-,13/14,1/1,12/13,-,-,-,-,2/2,-,2/1,-,-,0/1,-,1/1,-,1/1,-,-,-,95/74,15/11,72/55,8/6,0/0,0/2
"MA, Yexin",China,1999-06-10,408,.2023,,,,70%,447,192,-,19/11,-,12/9,-,7/2,,447,31/27,2/3,26/21,3/3,-,,537,34/14,-,34/14,-,-,,461,6/8,3/4,3/4,-,-,,480,45/35,8/8,37/26,0/1,-,,574,28/26,5/4,23/22,-,-,,203/163,35/27,158/130,3/4,7/2,
"Grubor, Ana",Canada,2004-01-02,,,,,,20%,878,-,-,4/15,2/6,2/7,0/2,-,,849,24/26,14/16,7/6,3/4,-,,-,6/3,2/1,4/2,-,-,,,,,,,,,,,,,,,,,,,,,,,34/44,18/23,13/15,3/6,0/0,
"Cid Subervi, Roberto",Dominican Republic,1993-08-30,211,.2020,Right,,Hard,90%,658,1011,-,15/7,11/3,4/3,-,-,0/1,593,21/8,7/3,13/5,-,-,1/0,299,12/31,4/15,7/13,0/1,0/1,1/1,228,26/22,5/7,0/3,6/4,-,15/8,258,32/30,13/14,15/8,4/7,-,0/1,266,34/26,20/12,13/11,0/1,-,1/2,220/162,113/75,78/57,10/13,0/1,19/16
"Jiang, Xinyu",China,1999-03-03,561,.2017,,,,90%,-,1060,-,18/3,1/0,14/2,-,-,3/1,,,,,,,,,,,,,,,,,,,,,,780,10/11,1/2,9/9,-,-,-,569,10/17,2/2,8/15,-,-,-,82/68,10/9,68/57,1/1,0/0,3/1
"Halys, Quentin",France,1996-10-26,61,2023,Right,2012,Hard,50%,71,205,-,18/16,5/4,10/9,3/3,-,,64,57/26,9/4,5/7,37/10,6/5,,151,35/27,10/9,17/9,8/8,0/1,,203,13/18,2/8,3/2,8/8,-,,220,25/29,10/8,0/6,14/13,1/2,,128,37/31,8/6,13/11,16/13,0/1,,339/263,80/74,109/83,136/93,14/13,
"Bai, Zhuoxuan",China,2002-11-16,235,.2023,,,,80%,236,-,-,22/7,2/1,15/4,5/2,-,,332,35/8,-,35/8,-,-,,668,26/3,0/1,26/2,-,-,,,,,,,,,825,2/4,-,2/4,-,-,,,,,,,,,85/22,2/2,78/18,5/2,0/0,
"Adaloglou, Magdalini",Greece,1999-09-05,,,Right,,,60%,-,1040,2023,0/1,11/4,-,-,,,2022,2/1,4/2,-,-,,,2021,2/3,0/1,-,-,,,2020,7/6,-,-,-,,,,,,,,,,,,,,,,,12/13,15/10,0/0,0/0,,
"Ferrando, Cristiana",Italy,1995-08-10,247,.2022,Right,,Hard,60%,605,-,-,7/3,2/1,4/1,1/1,-,-,457,13/14,7/7,-,5/5,1/2,-,297,34/21,27/15,7/5,0/1,-,-,358,4/8,0/2,4/3,0/2,-,0/1,362,34/23,20/17,5/3,9/3,-,-,438,23/25,10/12,3/6,10/7,-,-,272/194,114/101,119/60,38/30,1/2,0/1
"Simhadri, Satyajit",USA,1997-08-30,,,,,,30%,-,-,2023,-,1/3,1/1,-,,,2022,-,7/11,0/1,-,,,2021,-,2/4,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,10/18,1/2,0/0,,
"Mikula, Michal",Poland,2000-03-04,908,.2022,Right,,Hard,50%,991,1412,-,13/9,0/1,11/7,2/1,-,-,1038,15/16,4/4,9/10,2/2,-,-,1034,27/19,11/8,11/5,5/6,-,-,1430,21/13,1/1,9/5,2/1,-,9/6,1523,15/16,7/10,8/6,-,-,-,2025,16/12,10/6,6/5,0/1,-,-,111/90,37/35,54/38,11/11,0/0,9/6
"Stojanova, Jana",Bulgaria,2005-02-27,,,,,,50%,-,-,2023,6/5,-,-,-,,,2022,7/8,-,-,-,,,2021,3/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,16/15,0/0,0/0,0/0,,
"Dabrowski, Gabriela",Finland,1990-06-19,220,.2010,Right,2009,Hard,20%,-,16,,,,,,,,1002,1/1,-,1/1,-,-,-,725,1/8,1/3,0/4,-,0/1,-,489,6/7,0/1,2/2,-,-,4/4,481,9/10,1/1,5/7,2/1,1/1,-,419,8/10,0/2,4/4,4/2,0/1,0/1,106/133,32/29,38/71,28/15,3/11,5/7
"Moeller, Elmer",Denmark,2003-07-09,685,.2023,Right,,Hard,60%,-,-,-,11/9,6/3,5/5,-,-,0/1,1650,25/16,11/8,9/4,4/3,-,1/1,-,13/9,2/4,8/4,3/1,-,-,,,,,,,,-,3/1,-,-,3/1,-,-,,,,,,,,52/35,19/15,22/13,10/5,0/0,1/2
"Hoang, Antoine",France,1995-11-04,98,2019,Right,2016,,50%,350,358,-,13/13,0/2,0/1,13/10,-,,361,38/29,4/6,13/5,19/14,2/4,,200,24/30,7/10,6/4,6/13,5/3,,121,18/16,5/5,0/3,13/8,-,,116,34/29,4/5,4/9,20/12,6/3,,144,50/30,12/10,12/5,25/14,1/1,,322/240,115/87,60/48,133/94,14/11,
"Babakian, Hugo Joaquim",Australia,2003-08-29,,,Right,,Hard,20%,-,-,2023,-,0/2,-,-,,,2022,-,3/9,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,3/11,0/0,0/0,,
"Ilhan, Marsel",Turkiye,1987-06-11,77,2015,Right,2006,,60%,1169,-,-,17/11,17/11,-,-,-,-,888,17/26,17/25,0/1,-,-,-,755,23/32,23/30,0/2,-,-,-,575,7/9,6/6,1/3,-,-,-,550,36/20,21/11,15/9,-,-,-,513,26/17,22/9,4/7,-,0/1,-,450/365,197/167,184/128,43/48,16/18,10/4
"CE, Gabriela",Brazil,1993-03-03,221,.2019,Left,2011,Clay,40%,336,733,-,12/11,8/9,4/2,-,-,-,269,28/25,24/17,4/6,-,0/2,-,292,27/26,26/21,1/5,-,-,-,239,2/20,0/8,1/9,-,-,1/3,234,42/28,40/24,2/4,-,-,-,472,50/27,45/26,5/0,-,-,0/1,325/264,262/191,57/64,0/0,0/2,6/7
"Dubinin, Alexey",Neutral,1998-12-04,,,Right,,Grass,20%,1969,2417,-,4/12,2/3,2/9,-,-,-,1928,8/21,-,8/20,0/1,-,-,-,5/11,1/3,3/6,1/2,-,-,-,1/4,-,0/3,-,-,1/1,-,7/21,2/10,5/11,-,-,-,-,1/18,1/13,0/5,-,-,-,34/103,11/40,21/59,1/3,0/0,1/1
"Bonzi, Benjamin",France,1996-06-09,42,2023,Right,2014,,60%,64,136,-,12/9,2/2,6/3,4/3,-,0/1,60,35/27,9/5,7/10,10/5,8/4,1/3,64,57/27,7/7,28/7,15/11,7/2,-,165,30/12,5/4,21/4,4/4,-,-,357,33/26,21/13,1/3,10/10,1/0,-,298,24/30,4/13,1/4,16/12,3/1,-,381/224,122/79,157/71,82/63,19/7,1/4
"Cardenas Galvis, Sofia",Colombia,2003-02-23,,,,,,30%,-,-,,,,,,,,2022,1/2,-,-,-,,,2021,0/3,-,-,-,,,,,,,,,,2019,3/3,-,-,-,,,,,,,,,,4/8,0/0,0/0,0/0,,
"Serghi, Anna-Raphaelle",Canada,2006-10-31,,,,,,43%,-,-,2023,-,-,3/2,-,,,2022,-,-,0/2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,3/4,0/0,,
"Jorda Sanchis, David",Spain,1994-06-14,508,.2023,Right,,,70%,512,674,-,17/15,9/6,6/4,2/5,-,,586,35/19,20/14,14/4,1/1,-,,928,5/8,5/7,0/1,-,-,,794,12/9,6/5,2/2,4/2,-,,851,24/25,5/8,13/9,6/8,-,,1047,25/16,11/9,14/7,-,-,,208/157,121/84,74/55,13/18,0/0,
"Nazarenko, Daria",Neutral,2004-12-12,,,,,,10%,-,-,2023,-,0/4,-,-,,,2022,-,1/5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/9,0/0,0/0,,
"Deschamps, Thomas",France,1998-07-19,,,,,,30%,-,-,2023,0/1,0/1,1/3,-,,,2022,16/12,11/6,7/10,-,,,2021,21/13,5/7,3/3,-,,,2020,7/3,5/2,2/1,-,,,,,,,,,,,,,,,,,44/29,21/16,14/18,0/0,,
"Jirasook, Keira",USA,2003-10-26,,,,,,10%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,2/14,-,-,,,2018,-,3/3,-,-,,,0/0,5/17,0/0,0/0,,
"Kania-Chodun, Paula",Poland,1992-11-06,128,.2015,Right,2008,Hard,20%,-,135,,,,,,,,-,0/3,0/1,0/1,0/1,-,-,818,2/4,1/2,-,1/2,-,-,687,12/12,-,5/6,-,-,7/6,750,14/8,4/3,10/5,-,-,-,-,7/4,0/3,4/0,3/1,-,-,140/144,38/47,59/50,23/27,12/10,8/10
"Yang, Jimmy",Germany,1997-06-19,,,,,,60%,1265,761,-,7/6,-,1/4,6/2,-,,1442,26/26,3/4,18/17,5/5,-,,1981,17/19,5/6,11/10,1/3,-,,,,,,,,,,,,,,,,-,0/1,0/1,-,-,-,,50/53,8/11,30/31,12/11,0/0,
"Vujic, Stefan",Australia,1998-03-31,1522,8.2022,Right,,Hard,50%,2011,1231,-,5/5,2/2,1/1,-,2/2,,1967,16/21,7/11,9/10,-,-,,1767,7/8,3/4,4/4,-,-,,,,,,,,,-,0/3,-,0/3,-,-,,-,4/6,3/3,1/3,-,-,,67/96,22/35,43/58,0/0,2/3,
"Echeverria, John",Spain,2001-11-30,587,.2023,Right,,Hard,60%,587,459,-,18/7,-,18/7,-,-,,747,29/23,2/5,27/17,0/1,-,,814,30/13,0/3,26/8,4/2,-,,1133,4/3,0/1,4/2,-,-,,1098,14/13,3/4,11/9,-,-,,1743,13/8,9/7,4/1,-,-,,112/70,16/22,92/45,4/3,0/0,
"Gadamauri, Buvaysar",Belgium,2000-07-10,722,.2022,,,,70%,722,638,-,15/5,5/1,10/4,-,-,-,821,27/23,20/15,4/5,3/3,-,-,998,37/22,19/11,10/6,8/5,-,-,1602,20/15,4/3,8/3,3/3,-,5/6,1904,23/16,11/8,12/8,-,-,-,1902,20/14,16/12,4/2,-,-,-,152/105,84/59,48/28,15/12,0/0,5/6
"Dickson, Samuel",USA,2003-12-05,,,Right,,Hard,38%,-,-,,,,,,,,,,,,,,,2021,-,1/2,-,-,,,,,,,,,,2019,-,2/3,-,-,,,,,,,,,,0/0,3/5,0/0,0/0,,
"Praefke, Pia",Germany,2002-10-23,,,,,,40%,-,1514,2023,2/3,1/2,-,-,,,2022,0/1,8/12,-,-,,,2021,2/4,8/6,-,-,,,2020,1/4,-,-,-,,,2019,1/2,-,-,-,,,,,,,,,,6/15,17/20,0/0,0/0,,
"Oluwadare, Hephzibah",Great Britain,2007-10-31,,,Left,,Clay,38%,-,-,2023,-,1/1,-,-,,,2022,-,0/1,2/2,0/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/2,2/2,0/1,,
"Planelles Ripoll, G.",Spain,2003-08-07,,,,,,50%,1439,1824,,,,,,,,1260,23/19,20/15,3/4,-,-,,-,6/8,6/8,-,-,-,,,,,,,,,-,0/1,0/1,-,-,-,,,,,,,,,29/28,26/24,3/4,0/0,0/0,
"Chen, Meng Yi",China,2003-01-19,,,Left,,Hard,50%,1283,947,-,2/2,-,2/2,-,-,,1280,19/16,4/4,14/11,-,1/1,,,,,,,,,,,,,,,,-,4/7,3/5,1/2,-,-,,,,,,,,,25/25,7/9,17/15,0/0,1/1,
"Ben Abdennibi, Sami",Morocco,2001-03-24,,,Right,,Clay,30%,-,-,,,,,,,,2022,1/1,4/5,-,-,,,2021,5/11,7/8,-,-,,,2020,1/1,-,-,-,,,,,,,,,,2018,6/8,-,-,-,,,17/31,11/13,0/0,0/0,,
"Vecic, Alexandra",Germany,2002-01-07,462,.2023,,,,30%,537,-,-,4/7,3/3,1/3,0/1,-,-,472,23/15,1/4,22/11,-,-,-,568,16/22,13/15,0/3,3/4,-,-,953,9/10,8/5,-,-,-,1/5,1254,1/7,0/4,1/2,0/1,-,-,731,3/5,2/3,-,1/2,-,-,56/72,27/38,24/19,4/10,0/0,1/5
"Massetti, Ottavia",Italy,2003-07-21,,,,,,10%,-,-,2023,1/2,-,-,-,,,2022,0/3,0/3,-,-,,,2021,1/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,2/7,0/3,0/0,0/0,,
"Bybel, Nicholas",USA,1993-10-25,1068,8.2022,,,,30%,1183,692,-,0/1,0/1,-,-,-,,1192,17/17,12/14,5/3,-,-,,1397,12/14,0/2,12/12,-,-,,1303,0/1,-,0/1,-,-,,1278,15/19,7/9,8/10,-,-,,2040,31/25,9/7,20/17,2/1,-,,119/111,48/51,69/55,2/5,0/0,
"Ayeni, Alafia",USA,1999-08-10,399,.2023,Right,,Hard,60%,402,1768,-,5/3,-,5/2,0/1,-,,432,24/19,-,22/15,2/4,-,,838,27/20,3/2,12/10,12/8,-,,902,5/7,0/1,3/3,2/3,-,,816,11/22,0/2,11/18,0/2,-,,626,22/14,-,11/10,11/4,-,,127/113,10/8,80/76,37/29,0/0,
"Khantiweerawat, Teerapat",Thailand,2007-01-27,,,Right,,Hard,11%,-,-,,,,,,,,2022,-,1/8,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/8,0/0,0/0,,
"Jain, Maanav",India,2003-08-01,,,Right,,Hard,20%,-,-,2023,-,0/4,-,-,,,2022,2/1,1/3,-,-,,,2021,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,2/1,1/8,0/0,0/0,,
"Mora Clement, Rodrigo",Spain,2001-01-16,,,Left,,Clay,40%,1812,1632,-,7/7,7/6,0/1,-,-,,1726,7/9,6/8,1/1,-,-,,-,1/4,1/2,0/2,-,-,,,,,,,,,-,0/2,-,0/2,-,-,,,,,,,,,15/22,14/16,1/6,0/0,0/0,
"Shimizu, Eri",Japan,1998-05-28,449,.2023,,,,50%,457,437,-,22/14,-,17/12,4/1,1/1,,658,26/15,3/3,20/11,3/1,-,,724,22/14,11/8,11/6,-,-,,847,8/5,-,8/4,0/1,-,,985,15/9,8/3,7/6,-,-,,-,14/6,-,14/6,-,-,,120/75,22/14,90/55,7/5,1/1,
"Potenza, Luca",Italy,2000-07-28,437,.2022,,,,50%,495,483,-,9/12,5/5,3/6,1/1,-,,485,26/26,13/11,10/9,3/6,-,,559,39/25,6/7,27/13,6/4,0/1,,745,26/7,-,23/6,3/1,-,,1196,12/8,3/4,9/4,-,-,,1212,14/8,1/3,13/5,-,-,,127/91,28/32,86/46,13/12,0/1,
"Kocevar, Anali",Slovenia,2002-08-27,,,,,,30%,-,-,,,,,,,,2022,0/3,2/2,-,-,,,,,,,,,,2020,1/1,-,-,-,,,2019,-,-,0/1,-,,,,,,,,,,1/4,2/2,0/1,0/0,,
"Zaytsev, Ivan",Neutral,2000-08-22,,,,,,40%,-,-,2023,2/2,0/2,-,-,,,2022,3/7,7/10,-,-,,,2021,2/6,2/4,2/4,-,,,2020,0/1,1/1,-,-,,,2019,2/10,3/7,-,-,,,2018,7/7,-,-,-,,,16/33,13/24,2/4,0/0,,
"Harazaki, Asahi",Japan,2004-06-26,,,,,,40%,1176,-,-,2/2,-,2/2,-,-,,1171,5/5,-,5/4,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/7,0/0,7/6,0/1,0/0,
"Mozgaleva, Anastasia",Neutral,2001-10-23,,,Left,,Hard,30%,-,-,2023,2/6,1/3,-,-,,,2022,11/17,0/6,0/2,-,,,2021,10/15,5/6,-,-,,,2020,0/5,0/2,-,-,,,2019,2/5,-,-,-,,,2018,0/6,2/2,-,-,,,26/57,8/19,0/2,0/0,,
"Oliveira, Leonor",Portugal,2002-07-04,1223,8.2018,,,,10%,-,-,,,,,,,,2022,-,0/1,-,-,,,2021,-,1/2,-,-,,,,,,,,,,2019,-,1/4,0/2,-,,,2018,0/2,2/9,0/1,-,,,0/3,5/24,0/3,0/0,,
"Habib, Shahd",Egypt,2006-01-26,,,Right,,Clay,10%,-,-,,,,,,,,2022,-,0/3,-,-,,,2021,3/11,1/4,-,-,,,2020,0/1,2/2,-,-,,,,,,,,,,,,,,,,,3/12,3/9,0/0,0/0,,
"Urrea, Andres",Colombia,1994-08-31,1081,9.2019,Right,,Clay,20%,-,401,-,0/1,0/1,-,-,-,,-,6/16,5/12,1/4,-,-,,1753,11/11,1/5,10/6,-,-,,1410,10/7,6/2,4/5,-,-,,1368,6/14,3/8,3/6,-,-,,1165,7/8,7/5,0/3,-,-,,44/59,22/33,22/26,0/0,0/0,
